Serial No,Quantity,Unit Price (USD),Date Ordered,Hospital Name,State,Equipment,Supplier,Supplier Country
4539,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4540,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4541,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4542,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4543,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4544,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4545,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4546,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4547,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4548,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4549,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4550,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4551,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4552,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4553,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4554,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4555,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4556,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4557,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4558,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4559,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4560,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4561,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4562,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4563,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4564,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4565,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4566,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4567,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4568,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4569,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4570,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4571,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4572,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4573,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4574,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4575,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4576,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4577,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4578,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4579,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4580,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4581,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4582,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
4583,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
4584,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
4585,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
4586,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
4587,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
4588,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
4589,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4590,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4591,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4592,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4593,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4594,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4595,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4596,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4597,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4598,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4599,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4600,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4601,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4602,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4603,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4604,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4605,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4606,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4607,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4608,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4609,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4610,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4611,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4612,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4613,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4614,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4615,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4616,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4617,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4618,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4619,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4620,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4621,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4622,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4623,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4624,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4625,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4626,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4627,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4628,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4629,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4630,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4631,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4632,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
4633,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
4634,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
4635,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
4636,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
4637,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
4638,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
4639,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4640,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4641,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4642,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4643,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4644,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4645,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4646,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4647,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4648,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4649,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4650,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4651,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4652,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4653,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4654,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4655,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4656,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4657,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4658,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4659,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4660,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4661,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4662,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4663,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4664,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4665,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4666,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4667,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4668,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4669,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4670,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4671,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4672,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4673,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4674,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4675,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4676,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4677,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4678,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4679,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4680,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4681,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4682,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
4683,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
4684,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
4685,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
4686,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
4687,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
4688,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
4689,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4690,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4691,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4692,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4693,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4694,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4695,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4696,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4697,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4698,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4699,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4700,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4701,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4702,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4703,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4704,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4705,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4706,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4707,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4708,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4709,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4710,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4711,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4712,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4713,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4714,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4715,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4716,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4717,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4718,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4719,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4720,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4721,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4722,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4723,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4724,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4725,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4726,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4727,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4728,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4729,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4730,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4731,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4732,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
4733,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
4734,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
4735,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
4736,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
4737,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
4738,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
4739,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4740,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4741,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4742,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4743,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4744,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4745,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4746,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4747,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4748,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4749,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4750,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4751,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4752,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4753,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4754,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4755,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4756,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4757,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4758,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4759,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4760,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4761,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4762,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4763,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4764,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4765,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4766,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4767,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4768,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4769,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4770,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4771,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4772,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4773,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4774,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4775,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4776,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4777,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4778,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4779,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4780,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4781,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4782,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
4783,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
4784,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
4785,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
4786,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
4787,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
4788,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
4789,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
4790,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
4791,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4792,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
4793,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
4794,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
4795,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
4796,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
4797,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
4798,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
4799,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
4800,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
4801,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
4802,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
4803,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
4804,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4805,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
4806,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
4807,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
4808,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
4809,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
4810,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4811,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
4812,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
4813,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
4814,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
4815,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
4816,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
4817,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
4818,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
4819,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
4820,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
4821,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
4822,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
4823,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
4824,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
4825,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
4826,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
4827,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
4828,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
4829,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
4830,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
4831,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
4832,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
